"","colony_id","weight1.g","weight2.g","Notes","delta.mass.g","surface.area.cm2"
"1","ACR-139",4.1315,4.4772,"",0.3457,15.468430934899
"2","ACR-140",4.2554,4.8152,"",0.5598,25.1856074243717
"3","ACR-145",2.3453,2.5665,"",0.2212,9.81785422803615
"4","ACR-150",4.3774,5.1638,"",0.7864,35.470110892445
"5","ACR-165",3.8386,4.1155,"",0.2769,12.3458632446808
"6","ACR-173",4.6073,5.1237,"",0.5164,23.2158481546701
"7","ACR-175",2.847,3.0915,"",0.2445,10.8753517161478
"8","ACR-176",17.7871,19.1287,"",1.3416,60.6685059739733
"9","ACR-180",2.8086,3.1073,"",0.2987,13.3352814953604
"10","ACR-185",3.1813,3.4848,"",0.3035,13.5531350551431
"11","ACR-186",5.6444,6.2402,"",0.5958,26.8195091227417
"12","ACR-187",9.9284,10.8251,"",0.896700000000001,40.4762041516176
"13","ACR-190",4.6149,5.0237,"",0.4088,18.3322975228753
"14","ACR-193",6.5092,7.1439,"",0.6347,28.5850306801471
"15","ACR-224",2.51,2.75,"",0.24,10.6711140038516
"16","ACR-225",3.1376,3.6271,"",0.4895,21.9949604967214
"17","ACR-228",6.46,6.98,"",0.52,23.3792383245071
"18","ACR-229",4.73,5.15,"Double dipped",0.42,18.8406224957015
"19","ACR-231",3.6585,4.1563,"",0.4978,22.3716656105122
"20","ACR-234",6.03,6.63,"",0.6,27.0101309875515
"21","ACR-237",3.7165,4.1805,"",0.464,20.837613460376
"22","ACR-243",3.09,3.58,"",0.49,22.0176535758654
"23","ACR-244",2.51,2.75,"",0.24,10.6711140038516
"24","ACR-246",9.3861,10.4466,"",1.0605,47.910456879201
"25","ACR-247",4.11,4.47,"",0.359999999999999,16.1174529984182
"26","ACR-256",5.1,5.72,"",0.62,27.9178541533126
"27","ACR-258",3.88,4.2,"",0.32,14.302006666896
"28","ACR-265",8.6039,9.4072,"",0.8033,36.2371369675132
"29","ACR-267",9.12,10.03,"",0.91,41.0798400568487
"30","ACR-343",11.34,12.05,"",0.710000000000001,32.0026083992376
"31","ACR-345",6.86,7.3,"",0.44,19.7483456614626
"32","ACR-350",16.2574,17.4787,"",1.2213,55.2085511319203
"33","ACR-351",4.7442,5.2183,"",0.4741,21.2960136590853
"34","ACR-363",9.51,10.27,"",0.76,34.2719163136404
"35","ACR-364",7.39,7.94,"",0.550000000000001,24.7408230731488
"36","ACR-368",6.22,6.58,"",0.36,16.1174529984182
"37","ACR-374",9.8259,10.5089,"",0.683,30.7771821254601
"38","ACR-379",14.03,15.01,"",0.98,44.2568711370126
"39","ACR-389",7.5126,8.061,"",0.5484,24.6682052198879
"40","ACR-390",6.51,7.09,"",0.58,26.1024078217904
"41","ACR-393",9.9696,10.6637,"",0.694100000000001,31.2809684824575
"42","ACR-396",10.69,11.54,"",0.85,38.3566705595653
"43","ACR-51",2.9893,3.3753,"",0.386,17.2974931139077
"44","ACR-TEST",4.27,4.77,"",0.5,22.471515158746
"45","POC-200",17.0828,18.2307,"",1.1479,51.877207113577
"46","POC-201",14.67,15.92,"",1.25,56.5111338747875
"47","POC-205",11.731,12.3731,"",0.642100000000001,28.9208882514787
"48","POC-207",10.9676,11.8088,"",0.841200000000001,37.9572723666305
"49","POC-217",10.96,11.87,"",0.909999999999998,41.0798400568486
"50","POC-219",10.66,11.58,"",0.92,41.5337016397292
"51","POC-222",11.5338,12.644,"",1.1102,50.1661489461174
"52","POC-238",10.7,11.32,"",0.620000000000001,27.9178541533127
"53","POC-239",13.8,15.06,"",1.26,56.964995457668
"54","POC-248",6.67,7.07,"Double dipped",0.4,17.9328993299405
"55","POC-254",8.49,9.28,"",0.789999999999999,35.633501062282
"56","POC-255",16.82,18.3,"",1.48,66.9499502810402
"57","POC-259",37.14,39.87,"",2.73,123.682648141109
"58","POC-346",10.8,11.82,"",1.02,46.0723174685347
"59","POC-358",12.62,13.6,"",0.98,44.2568711370126
"60","POC-359",7.3826,7.9973,"",0.6147,27.6773075143859
"61","POC-366",16.61,19.77,"",3.16,143.198696204973
"62","POC-369",22.7,24.25,"",1.55,70.1269813612041
"63","POC-371",10.5514,11.5219,"",0.970500000000001,43.8257026332761
"64","POC-372",7.64,8.24,"",0.600000000000001,27.0101309875515
"65","POC-373",16.95,18.26,"",1.31,59.2343033720709
"66","POC-375",6.7547,7.5624,"",0.807700000000001,36.4368360639806
"67","POC-377",21.2241,23.0481,"",1.824,82.5627887321313
"68","POC-378",19.48,20.96,"",1.48,66.9499502810402
"69","POC-386",10.9112,11.6295,"",0.718300000000001,32.3793135130285
"70","POC-391",15.15,16.39,"",1.24,56.0572722919069
"71","POC-394",8.28,8.92,"",0.640000000000001,28.8255773190738
"72","POC-395",10.3975,11.3584,"",0.960899999999999,43.3899955137106
"73","POC-40",7.6978,8.304,"",0.6062,27.2915251689375
"74","POC-41",21.2545,22.791,"",1.5365,69.5142682243153
"75","POC-42",15.9462,17.3692,"",1.423,64.3629392586211
"76","POC-43",10.5551,11.3107,"",0.755600000000001,34.072217217173
"77","POC-44",6.2168,6.8455,"",0.6287,28.3127137304187
"78","POC-45",9.912,10.4887,"",0.576699999999999,25.9526334994398
"79","POC-47",24.2539,25.7837,"",1.5298,69.2101809637853
"80","POC-48",10.006,10.7434,"",0.737399999999999,33.2461891363303
"81","POC-50",13.4247,14.5089,"",1.0842,48.986108830628
"82","POC-52",16.1441,17.277,"",1.1329,51.1964147392562
"83","POC-53",9.7805,10.3868,"",0.606299999999999,27.2960637847662
"84","POC-55",12.6043,13.337,"",0.732699999999999,33.0328741923764
"85","POC-56",4.7287,5.0956,"",0.3669,16.4306174906058
"86","POC-57",16.9728,18.0418,"",1.069,48.2962392246494
"87","POC-68",7.7696,8.3571,"",0.587500000000001,26.4428040089509
"88","POR-209",16.21,16.39,"",0.18,7.94794450656826
"89","POR-214",1.57,1.66,"",0.0899999999999999,3.86319026064328
"90","POR-216",5.0058,5.132,"",0.1262,5.50616919067089
"91","POR-221",9.58,9.84,"",0.26,11.5788371696127
"92","POR-224",7.0762,7.2867,"",0.2105,9.33222233435394
"93","POR-235",19.38,19.92,"",0.540000000000003,24.2869614902683
"94","POR-236",5.74,5.97,"",0.23,10.217252420971
"95","POR-240",11.3018,11.5143,"",0.2125,9.42299465093008
"96","POR-242",12.6,12.98,"Double dipped",0.380000000000001,17.0251761641794
"97","POR-245",7.08,7.44,"",0.36,16.1174529984182
"98","POR-251",22.3088,22.6636,"",0.354799999999997,15.8814449753202
"99","POR-253",23.5029,24.1491,"",0.6462,29.1069715004597
"100","POR-260",30.2585,31.1425,"",0.883999999999997,39.8997999413591
"101","POR-262",47.14,48.36,"",1.22,55.1495491261458
"102","POR-266",10.52,11.02,"",0.5,22.471515158746
"103","POR-338",21.6031,22.3192,"",0.716099999999997,32.2794639647946
"104","POR-340",14.43,14.65,"",0.220000000000001,9.76339083809051
"105","POR-341",9.58,9.74,"",0.16,7.04022134080717
"106","POR-349",13.5703,13.9993,"",0.429,19.2490979202941
"107","POR-353",55.8705,56.6483,"",0.777799999999999,35.0797899311677
"108","POR-354",24.06,25.14,"",1.08,48.7954869658182
"109","POR-355",20.1206,20.6612,"",0.540600000000001,24.3141931852411
"110","POR-357",11.8,12.03,"",0.229999999999999,10.217252420971
"111","POR-362",41.885,42.5768,"",0.691800000000001,31.176580318395
"112","POR-365",6.131,6.3828,"",0.251799999999999,11.2066706716506
"113","POR-367",10.2646,10.6389,"",0.3743,16.7664750619374
"114","POR-381",11.5,11.84,"",0.34,15.2097298326571
"115","POR-383",14.36,14.6,"",0.24,10.6711140038516
"116","POR-384",26.84,27.25,"",0.41,18.386760912821
"117","POR-385",8.84,9.06,"",0.220000000000001,9.76339083809051
"118","POR-69",9.4891,9.7435,"",0.254399999999999,11.3246746831995
"119","POR-70",21.5842,22.2054,"",0.621200000000002,27.9723175432584
"120","POR-71",18.9427,19.3506,"",0.407900000000001,18.2914499804162
"121","POR-72",29.8761,30.449,"",0.572900000000001,25.7801660979452
"122","POR-73",13.1895,13.5317,"",0.3422,15.3095793808908
"123","POR-74",30.0721,30.5322,"",0.460100000000001,20.6606074430526
"124","POR-75",11.687,11.9964,"",0.3094,13.8209133890426
"125","POR-76",14.0024,14.3483,"",0.3459,15.4775081665567
"126","POR-77",7.0833,7.3387,"",0.2554,11.3700608414876
"127","POR-78",20.9594,21.5611,"",0.601700000000001,27.0872874566413
"128","POR-79",49.6208,50.3812,"",0.760399999999997,34.2900707769555
"129","POR-80",7.5054,7.7395,"",0.2341,10.4033356699521
"130","POR-81",6.7538,6.9444,"",0.1906,8.42903778442165
"131","POR-82",10.4383,10.6404,"",0.2021,8.95097860473428
"132","POR-83",19.9939,20.2976,"",0.303699999999999,13.5622122868007
